State,Unweighted,Original,StXGen,StXAge,GenAge,StXVot,GenAgeVot
Alabama,314,369.0909800236836,398.74633385477324,396.8143923797822,396.1278346655292,399.7043213630332,396.12783466552906
Alaska,270,30.66184261002143,47.31388555412148,47.0846479409218,47.00318333457811,47.42755709785684,47.003183334578104
Arizona,211,542.8275350584903,395.8001048708668,393.8824379897353,393.2009530650358,396.751014068122,393.2009530650359
Arkansas,355,154.57781585183034,212.71466265017906,211.6840518477177,211.31780172783468,213.2257093290856,211.31780172783468
California,2559,2608.117891253167,2293.7255114429277,2282.612322250784,2278.663007083328,2299.2361837696103,2278.663007083328
Colorado,181,209.0927025937934,492.00105288819793,489.6172886774399,488.7701658587407,493.1830847282433,488.7701658587406
Connecticut,369,272.52762055843715,311.515890393326,310.00658380497043,309.47021865373665,312.2643068834197,309.4702186537366
Delaware,327,79.12510335584517,84.719193383859,84.30872560138735,84.16285688530238,84.92273112723338,84.16285688530238
District of Columbia,249,64.383990098077,53.776977517254416,53.51642597246432,53.423833274729,53.906176630373466,53.423833274729
Florida,1265,1584.39772144359,1801.075539868727,1792.3492589235796,1789.2481838769568,1805.4026213291304,1789.2481838769565
Georgia,663,751.0551615451575,773.1695375647148,769.4235011250042,768.0922650348593,775.0270762951498,768.0922650348592
Hawaii,340,47.081324394952034,82.28047176969737,81.88181968816725,81.74014994018547,82.47815048781149,81.74014994018547
Idaho,282,142.43836142985984,132.05456885306984,131.4147593379252,131.18738901436143,132.37182976967048,131.18738901436146
Illinois,936,1027.241676127134,1031.1859005945296,1026.1897648544827,1024.414278599755,1033.663323275545,1024.414278599755
Indiana,470,448.80415062950226,522.2872507218506,519.7567487062606,518.8574793949352,523.5420451097465,518.8574793949352
Iowa,233,311.0587811364057,296.0389302956467,294.60461018009556,294.0948931142386,296.750163410796,294.09489311423863
Kansas,387,257.0899220483213,220.10719344092803,219.0407655396566,218.66178702928738,220.63600066469897,218.6617870292874
Kentucky,343,338.4229852405073,368.82412145794706,367.0371542642091,366.40211633585596,369.71022089285844,366.40211633585596
Louisiana,338,266.40307556156176,389.06934834032586,387.1842922360102,386.51439626505504,390.0040869044493,386.51439626505504
Maine,140,153.27352777760788,142.28434405834335,141.5949708850007,141.34998703001114,142.62618199553805,141.34998703001116
Maryland,372,505.2890741911233,474.8010620985303,472.5006325112026,471.6831244760365,475.94177098480856,471.68312447603654
Massachusetts,395,647.8923328865815,620.0475607028552,617.0434061883584,615.9758140881654,621.5372240984736,615.9758140881653
Michigan,738,834.3332048263877,919.2535672348,914.799747997377,913.2169857890366,921.462072641787,913.2169857890364
Minnesota,645,541.4540210880148,559.5828064852387,556.8716060534011,555.9081216024174,560.927203393588,555.9081216024174
Mississippi,338,261.02092759056893,223.1472489291087,222.06609184092008,221.68187899139852,223.6833598819295,221.68187899139855
Missouri,536,459.44120719795666,532.4698248636242,529.8899878808221,528.9731863084214,533.7490828716251,528.9731863084213
Montana,291,135.86488034183594,92.78539463781179,92.3358457969703,92.17608877088612,93.00831141839433,92.17608877088612
Nebraska,259,143.66883707921647,154.5811804712772,153.8322286478999,153.5660722147989,154.9525615407205,153.56607221479888
Nevada,98,156.71539062471447,215.4728548770535,214.42888052612355,214.05788137661955,215.99052810891953,214.05788137661958
New Hampshire,130,143.65377848329112,140.36617726237375,139.6860976816599,139.44441650834838,140.7034068065294,139.44441650834838
New Jersey,863,650.4505565647379,705.1173083266099,701.7009875807333,700.4869231834385,706.8113516716728,700.4869231834384
New Mexico,75,150.02904437131673,150.26189941255242,149.53387467366724,149.27515513836093,150.62290341530544,149.2751551383609
New York,1490,1399.5436576679597,1351.9794862049732,1345.4290930828936,1343.10126742794,1355.2276150258383,1343.1012674279398
North Carolina,740,1024.5518383241927,888.2762383819337,883.9725055059741,882.4430797731951,890.4103207997649,882.443079773195
North Dakota,270,65.92712878273176,64.65547953428877,64.34222122470085,64.23089802377291,64.81081423325799,64.2308980237729
Ohio,969,1074.6638849890267,1021.8061282807381,1016.8554379018653,1015.0961016515222,1024.2610160719146,1015.0961016515221
Oklahoma,239,181.61518023516214,278.4202699102199,277.07131288855174,276.5919314676284,279.0891742184849,276.5919314676284
Oregon,169,386.8032344833309,347.01895698916906,345.33763666420356,344.7401426644224,347.85266954700325,344.74014266442236
Pennsylvania,1203,1101.697373987811,1145.509754504921,1139.9597152522942,1137.987387253427,1148.261840084736,1137.987387253427
Rhode Island,275,76.71352708316735,86.3666256245507,85.94817596888598,85.79947071935224,86.57412132157452,85.79947071935224
South Carolina,342,326.9308259786383,399.951112219472,398.0133335465099,397.32470145611836,400.91199420606483,397.32470145611836
South Dakota,233,85.99417624065033,71.00248758109066,70.65847777099567,70.53622635087928,71.17307095799727,70.5362263508793
Tennessee,377,519.1668209666847,476.74820190502226,474.43833834970434,473.6174777474013,477.8935887919567,473.6174777474013
Texas,1046,1986.4543692549973,1708.3018495596693,1700.0250607474354,1697.083722574493,1712.4060423591238,1697.083722574493
Utah,104,234.895644900125,188.98787764907786,188.07222404150446,187.7468264784825,189.44192076027133,187.74682647848252
Vermont,332,67.97240114734286,55.914648445922744,55.64373980245527,55.547466482875926,56.04898331045207,55.547466482875926
Virginia,886,664.599408712274,737.7155907747903,734.1413300843224,732.8711382687014,739.4879514477498,732.8711382687014
Washington,256,725.7563485954147,567.552878744015,564.8030630025227,563.8258557555462,568.9164237397962,563.8258557555462
West Virginia,349,167.16761956099046,135.89032682228344,135.23193291079562,134.99795821497764,136.21680314202945,134.99795821497767
Wisconsin,482,600.5199200650062,563.5971993736327,560.8665490523302,559.8961526571567,564.9512408552704,559.8961526571567
Wyoming,300,55.54121504080417,47.72718267110841,47.49594261732431,47.41376639986384,47.84184716058814,47.413766399863846
